Region,Stat,mean,median,Q1,Q2
Africa,peak,6.76,6.76,6.12,7.53
Africa,peaktime,12.2,13,10,14
Africa,nadir,4.03,4.22,3.43,4.71
Africa,nadirtime,32.1,31,27,38
Africa,setpoint,4,3.99,3.39,4.5
Africa,EIAtime,15.1,14,13,18
Africa,upslope,0.41,0.4,0.36,0.44
Africa,downslope,-0.15,-0.14,-0.18,-0.1
Thailand,peak,6.73,6.66,6.26,6.91
Thailand,peaktime,13.1,14,11,15
Thailand,nadir,4.65,4.7,4.14,5.44
Thailand,nadirtime,33.9,33,28,42
Thailand,setpoint,4.69,4.77,4.41,5.22
Thailand,EIAtime,15.4,14,13,18
Thailand,upslope,0.38,0.38,0.34,0.41
Thailand,downslope,-0.11,-0.1,-0.13,-0.08
