id,initT_SAEM,ldS_SAEM,ltau_SAEM,lk_SAEM,lw_SAEM,ldE_SAEM,lE50_SAEM,initV_SAEM,initAP_SAEM
35,-0.73393,-1.09039,-4.29847,4.8518,-0.0694273,-6.84104,3.07337,0.001,1
36,1.56495,-0.346728,-4.02451,4.5282,-0.151226,-7.36891,1.80578,0.001,1
37,0.466514,-1.36783,-4.18539,5.02608,-0.135053,-6.90572,3.16514,0.001,1
38,-1.23167,-0.520067,-4.04511,4.5647,-0.102931,-7.16599,2.04218,0.001,1
39,-0.297847,-1.0558,-4.02215,5.19411,-0.0769473,-7.26253,2.44552,0.001,1
40,-0.591982,-1.27992,-4.19141,4.92715,-0.114249,-6.84984,3.10242,0.001,1
41,-0.714982,-0.859417,-4.15665,4.97224,-0.094228,-7.2267,2.51585,0.001,1
42,-0.117775,-0.923363,-4.02424,4.89072,-0.0225952,-6.99006,2.38124,0.001,1
43,0.886756,-1.22807,-4.29283,5.00934,-0.240375,-7.17992,3.20668,0.001,1
44,-0.460958,-0.504443,-4.04823,4.4145,-0.0648522,-6.96366,2.05593,0.001,1
45,-0.708201,-0.667134,-3.98726,4.92748,0.203286,-6.84956,1.96202,0.001,1
46,-0.531171,-0.72967,-4.11367,4.6011,-0.138244,-7.06782,2.39843,0.001,1
47,-0.677941,-0.854,-3.92182,4.91304,0.0242451,-7.00673,2.10675,0.001,1
48,0.488426,-0.967496,-4.04741,4.88051,-0.00615312,-6.9066,2.46714,0.001,1
49,-0.916926,-0.300815,-4.39506,4.6779,0.0894706,-7.0564,2.32288,0.001,1
50,-1.2382,-1.0741,-4.37317,5.04618,-0.287494,-7.41882,3.16021,0.001,1
51,-0.219267,-0.608934,-4.07319,4.59033,-0.00450733,-6.92835,2.15734,0.001,1
1,-0.301787,-0.685375,-4.06947,4.63613,-0.0401947,-6.97306,2.24452,0.001,1
2,-1.5788,-0.748604,-4.15964,4.83473,-0.150788,-7.29286,2.44532,0.001,1
3,1.01866,-0.92189,-4.09493,4.81761,-0.0383485,-6.93387,2.51425,0.001,1
4,-0.709023,-0.299208,-3.95393,4.37328,-0.027933,-7.05391,1.65627,0.001,1
5,-0.333006,-0.629247,-4.1223,4.5658,-0.0980931,-7.04784,2.29689,0.001,1
6,-0.828151,-0.511857,-4.11065,4.55663,-0.165478,-7.26545,2.15869,0.001,1
7,-0.535575,-0.149612,-3.96683,4.3943,-0.0569145,-7.24986,1.48303,0.001,1
8,0.683567,-0.320029,-4.14873,4.29906,-0.454244,-7.69031,2.09893,0.001,1
9,-0.21776,-0.147981,-3.97578,4.27865,-0.206851,-7.41153,1.57457,0.001,1
10,-0.0193652,-0.339514,-3.96499,4.26629,-0.202983,-7.22782,1.78483,0.001,1
11,0.371269,-0.825132,-4.23607,4.83836,-0.127615,-7.17246,2.65517,0.001,1
12,-0.198006,-0.250012,-3.92857,4.27266,-0.0570754,-7.05537,1.58149,0.001,1
13,-0.428627,-0.354709,-3.96296,4.46785,0.00366625,-7.04169,1.71942,0.001,1
14,0.103196,-0.269378,-3.85932,4.41867,0.00190022,-7.08595,1.43215,0.001,1
15,-0.19103,-1.06485,-4.13509,4.93656,-0.0737902,-6.98145,2.7307,0.001,1
16,0.860489,-0.917545,-4.12865,4.87499,-0.135106,-7.16123,2.57231,0.001,1
17,-0.147037,-0.969654,-4.16116,4.83537,-0.0898036,-6.99107,2.69583,0.001,1
18,-0.71887,-0.351838,-4.19482,4.8003,0.136705,-7.08551,2.00814,0.001,1
19,-0.248325,-0.813826,-4.13232,4.84314,-0.162152,-7.26763,2.46619,0.001,1
20,-0.270606,-1.27619,-4.16755,5.10345,-0.0930985,-6.98802,2.9959,0.001,1
21,0.119947,-1.44358,-4.29999,4.96562,-0.0817562,-6.66429,3.45809,0.001,1
22,-0.879323,-0.106122,-4.00581,4.01828,-0.140147,-7.07081,1.63458,0.001,1
23,-0.359766,-0.295574,-3.98498,4.34977,-0.324231,-7.55841,1.75632,0.001,1
24,-0.123828,-0.986608,-4.15619,4.83258,-0.0530331,-6.90813,2.7009,0.001,1
25,-0.217465,-0.174992,-3.81528,4.21226,-0.0772579,-7.11889,1.31539,0.001,1
26,-0.657129,0.0979089,-4.0293,3.71414,-0.00318021,-6.70398,1.49177,0.001,1
27,-0.368726,-0.581811,-4.08064,4.52355,-0.147361,-7.14358,2.18678,0.001,1
28,0.293198,-0.608778,-4.04092,4.57255,-0.208667,-7.28516,2.14818,0.001,1
29,-0.200533,-0.957208,-4.06118,4.81226,-0.100341,-7.01653,2.51699,0.001,1
30,0.371001,-0.885221,-4.09719,4.82736,0.017078,-6.87672,2.46867,0.001,1
31,-0.450285,-0.132086,-3.94792,4.21348,-0.273236,-7.483,1.52053,0.001,1
32,0.125754,-0.047026,-4.18965,4.16369,-0.164153,-7.27409,1.85718,0.001,1
33,-0.355349,-0.333381,-3.93558,4.46665,-0.129363,-7.2994,1.65599,0.001,1
34,-0.537243,0.128697,-3.8016,3.60323,0.05981,-6.55377,1.08777,0.001,1
