parameter,value
initT_pop,-0.253519433738506
ldS_pop,-0.63954834305332
ltau_pop,-4.08050088937307
lk_pop,4.62788265338168
lw_pop,-0.0955757222983493
ldE_pop,-7.10196273112888
lE50_pop,2.2199647789821
initV_pop,0.001
initAP_pop,1
omega_initT,0.946592955267849
omega_ldS,0.41834717961161
omega_ltau,0.190698455635245
omega_lk,0.380333106107157
omega_lw,0.164125733786544
omega_ldE,0.298558039303119
omega_lE50,0.615608557316424
corr_ldE_lE50,0.189824293594781
corr_ldS_lE50,-0.864969520824654
corr_lk_lE50,0.763710100763102
corr_ltau_lE50,-0.791993910608168
corr_lw_lE50,-0.0134816002114301
corr_ldS_ldE,-0.245090556995024
corr_lk_ldE,0.0978528055478894
corr_ltau_ldE,-0.0735183384923562
corr_lw_ldE,0.828155839901368
corr_lk_ldS,-0.889445177820439
corr_ltau_ldS,0.393254132949377
corr_lw_ldS,-0.0778623499533084
corr_ltau_lk,-0.413736622824038
corr_lw_lk,0.201250511262177
corr_lw_ltau,0.00946468104029441
a,0.614250162777326
