IC50,IC80,h
0.229,0.569,2.6
0.229,1.08,1.6
0.075,0.431,1.2
0.144,0.678,0.8
0.074,0.288,1.2
0.128,0.526,1.1
0.57,0.177,1
0.119,0.414,1.1
0.56,0.19,1.3
0.089,0.299,1
8.47,36.8,5.3
8.99,40.1,0.8
0.82,3.73,2.2
5.09,14.7,3.1
6.96,41,1.3
10.8,33.8,4.8
12.3,50,5.6
11.4,47.5,4.1
8.47,49.1,1.3
10,50,6.8
0.676,2.02,1.3
0.234,0.88,1.1
0.087,0.266,1.1
0.163,1.12,0.7
0.378,1.33,1.3
0.096,0.325,1.3
0.3,1.11,1.4
0.366,1.21,1.7
0.124,0.453,1
0.25,0.924,1.1
0.186,0.688,1.1
0.24,1.21,1.1
0.26,1.01,1.4
0.194,0.83,1.2
0.115,0.501,1
0.222,0.718,0.9
0.182,0.701,1.1
0.252,0.855,1.1
0.031,0.126,1
0.339,1.03,1.3
0.143,0.85,0.8
0.103,0.582,0.9
0.669,3.3,1.8
1.84,7.51,1.6
0.196,1.7,2.5
0.596,2.64,1.5
0.289,1.67,1.2
0.194,1.15,1
0.397,2.64,0.9
0.087,0.536,1
0.166,0.958,0.8
0.826,2.65,1.4
2.17,6.29,1.8
0.559,1.63,1.3
0.271,0.839,1.5
0.296,1.14,1.1
0.756,2.83,1.1
0.445,1.36,1.7
7.71,24.7,3.8
2.04,8.2,6.4
4.73,19.8,4.7
6.5,37.3,2
7.28,44,4
0.728,3.45,1.4
3.02,16.9,3.9
5.42,43.7,4.5
3.5,13.5,7
0.898,8.67,2.4
4.44,22.6,4
4.34,50,2.7
2.61,45.9,4.2
3.81,23.6,5
0.238,1.35,1.1
1.17,2.51,16
1.02,3.42,1.4
0.732,2.49,0.9
0.288,1.7,6.1
0.323,1.19,1.1
0.518,2.14,1.1
0.477,1.64,1.3
0.484,1.67,1.2
0.914,2.98,2.4
0.866,4.14,1.9
